tenure,monthly_charges,total_charges,contract,internet_service,senior_citizen,paperless_billing,payment_method,churn
51,70.54,3523.38,0,2,0,0,0,1
14,75.14,949.36,0,2,1,0,2,1
71,19.55,1308.38,0,1,0,1,2,1
60,96.84,5270.45,0,1,0,1,3,1
20,54.52,1067.17,0,2,0,1,0,0
23,59.05,1319.53,0,1,0,0,2,1
2,99.75,183.49,1,2,0,0,2,0
21,56.31,1242.82,0,1,0,1,3,1
52,22.77,1196.61,0,0,1,1,3,0
1,35.82,33.85,2,1,0,1,2,0
29,114.55,3494.11,0,1,0,0,0,1
37,25.11,960.27,1,0,0,1,1,0
1,53.85,50.53,2,1,0,0,1,1
63,68.82,4754.39,0,2,0,0,1,0
59,67.82,3743.23,0,1,1,1,0,1
20,18.4,388.0,2,0,0,1,2,0
32,68.62,2401.5,2,1,1,0,1,0
57,56.76,3381.23,1,1,0,1,1,0
21,116.18,2520.67,0,1,0,1,0,1
48,34.08,1767.79,2,1,0,1,2,0
58,53.77,2974.66,0,1,0,0,2,1
41,60.37,2364.85,0,1,0,0,0,1
59,57.46,3485.85,0,0,0,1,1,1
14,85.25,1284.72,0,1,0,1,2,1
61,39.77,2482.92,2,1,0,1,2,0
61,40.33,2694.85,2,0,1,0,1,0
46,91.65,3982.26,1,0,1,1,0,0
61,68.53,4452.79,0,1,0,1,1,1
50,59.93,3252.56,1,2,0,1,3,0
54,35.09,1867.2,1,1,1,1,2,0
63,36.94,2542.25,0,1,0,1,0,0
2,19.07,35.87,2,1,0,0,1,1
50,27.23,1484.81,2,0,0,1,1,0
6,74.24,481.33,1,1,0,1,0,0
20,108.08,1974.04,0,2,0,1,2,0
38,47.0,1793.62,1,1,0,1,0,0
17,51.1,873.71,2,1,1,0,3,0
3,29.68,81.15,0,0,0,1,0,1
59,57.25,3066.68,2,2,1,1,3,0
13,21.76,254.88,0,2,0,0,2,1
8,110.68,889.78,1,0,0,1,1,0
52,85.98,4438.6,1,1,0,1,3,1
1,118.07,128.47,1,0,1,0,3,0
59,107.17,6123.61,2,1,0,0,0,0
70,65.77,4749.59,0,0,0,0,0,1
43,70.49,2732.55,0,0,0,0,1,1
7,37.25,269.28,1,0,0,0,2,0
46,64.67,3220.81,0,2,0,1,3,0
34,109.21,3605.29,0,2,0,0,1,0
35,23.14,779.78,0,0,1,1,3,1
49,105.22,5285.74,0,1,0,0,1,1
3,52.44,151.93,1,0,0,1,0,0
1,108.85,106.73,1,0,1,0,0,1
5,113.03,539.51,0,2,0,1,2,1
53,85.76,4404.28,0,0,1,0,0,1
3,85.11,264.49,0,1,0,0,1,1
53,63.73,3663.02,0,1,1,0,3,1
62,102.39,6453.71,0,0,0,1,1,1
17,115.12,1765.26,0,1,0,0,2,1
43,96.28,3944.54,1,2,0,1,0,0
33,80.82,2908.29,1,2,0,0,0,0
61,79.29,5233.61,0,0,0,0,3,1
13,103.8,1245.67,1,2,0,0,2,0
47,72.66,3693.97,2,2,0,1,2,0
14,99.19,1517.67,0,0,1,0,0,0
71,69.4,4754.52,0,0,0,0,2,0
61,24.31,1542.53,1,0,0,1,1,0
39,56.78,2240.99,0,1,0,0,2,1
52,62.89,3163.7,1,1,0,1,1,0
23,32.3,691.39,2,0,0,0,1,0
25,28.35,689.89,0,0,1,1,1,1
59,72.08,4616.58,1,0,0,1,0,0
40,26.6,1130.23,1,1,0,0,1,0
28,48.6,1314.72,0,1,0,0,3,1
14,93.2,1317.24,0,1,0,1,2,1
44,115.41,4982.53,2,0,0,1,1,0
64,90.5,5752.89,2,1,0,1,3,0
70,118.26,8710.67,2,0,0,1,0,0
8,88.53,714.33,2,2,0,0,0,0
0,47.67,0.0,0,1,0,1,0,1
7,85.88,573.39,0,0,0,1,0,1
62,88.92,5587.79,0,0,0,1,2,1
10,55.54,576.82,0,0,1,1,0,1
7,19.79,138.75,2,0,0,1,2,0
34,89.02,3099.45,2,1,0,1,3,0
34,20.19,726.19,2,2,0,1,0,0
32,81.75,2639.75,1,0,0,0,0,0
4,34.53,151.3,0,1,0,0,3,1
40,75.13,2846.27,0,1,0,0,3,1
27,68.9,2016.45,0,1,0,1,2,1
6,19.36,110.3,1,0,0,1,1,0
71,54.65,3904.71,0,0,0,0,2,0
11,78.71,858.17,2,2,0,0,1,0
33,103.71,3335.42,2,2,0,0,2,0
32,107.75,3767.1,0,0,1,0,1,1
47,66.87,2999.76,0,0,0,1,0,0
22,91.57,2085.0,1,1,0,1,1,0
61,49.96,3232.89,0,1,1,1,3,1
36,52.56,1777.5,2,1,0,1,3,0
43,37.64,1771.68,1,0,0,1,1,0
34,74.76,2565.55,0,2,0,1,0,0
64,49.77,3449.33,0,2,0,1,0,1
46,26.52,1259.9,0,0,1,1,1,1
2,87.19,179.59,2,1,1,1,1,1
0,89.48,0.0,0,0,1,1,3,1
4,54.36,229.21,2,1,1,0,3,1
13,25.75,303.27,1,1,0,1,2,0
26,61.06,1605.28,1,0,0,0,0,0
8,62.68,454.52,0,1,0,0,0,1
14,85.54,1151.3,1,0,0,0,0,0
41,49.86,1879.2,1,1,0,0,2,0
50,86.94,4704.84,0,1,1,1,2,1
62,106.02,6741.86,2,2,1,0,3,0
51,41.99,2213.66,1,0,0,1,3,0
3,116.87,375.23,2,1,0,0,1,1
22,57.02,1312.91,0,1,0,1,2,1
14,44.99,582.52,2,1,0,1,2,0
42,60.57,2603.74,0,1,0,0,2,1
28,27.53,844.56,2,1,0,1,0,0
35,30.7,1013.06,2,2,0,1,3,0
12,59.86,735.52,0,0,0,1,1,0
31,95.01,2982.78,0,1,0,1,2,1
70,108.93,7459.86,1,1,0,1,2,1
58,85.15,5387.76,0,1,0,0,2,1
27,28.63,750.81,0,1,0,1,0,1
65,85.87,5127.97,0,2,1,1,1,1
41,82.18,3681.08,2,1,1,0,1,0
44,99.38,4573.18,2,2,0,1,2,0
61,101.35,5987.54,1,0,1,1,1,0
56,105.69,5658.83,1,1,0,0,0,1
5,59.83,324.76,1,0,1,1,2,0
27,88.48,2280.76,0,1,0,1,3,1
27,45.09,1226.48,0,1,0,0,3,1
43,118.93,4822.45,1,1,0,1,1,0
29,35.71,1138.16,2,1,0,1,3,0
61,19.02,1222.76,1,0,0,0,3,0
61,33.03,2042.08,1,1,0,1,2,0
0,96.36,0.0,2,1,0,1,0,0
26,63.13,1778.06,0,0,0,1,2,0
61,63.2,4212.29,1,0,0,0,0,0
2,114.46,242.02,0,1,0,1,2,1
69,110.88,8184.84,0,2,0,1,3,0
71,49.43,3437.79,1,0,0,1,2,0
26,39.11,994.86,1,0,0,1,1,0
8,103.7,880.75,0,0,0,0,1,1
61,109.51,7026.97,1,2,0,0,0,0
36,72.7,2827.09,1,1,0,0,0,0
50,81.57,3779.15,2,0,0,1,0,0
43,43.95,1961.97,2,2,0,1,1,0
23,98.88,2341.4,0,0,0,1,2,1
58,81.84,5030.12,2,0,0,1,3,0
31,68.85,1931.4,1,2,0,0,0,0
51,24.07,1307.67,2,2,0,0,2,0
61,110.51,6507.09,1,2,0,0,2,0
57,80.16,4740.12,0,1,0,1,1,1
51,37.46,1955.0,0,0,0,1,1,1
11,79.24,861.21,1,2,0,1,3,0
38,86.42,3445.55,0,1,0,1,2,1
1,71.1,77.66,1,0,0,1,0,0
2,90.53,174.67,0,1,1,0,1,1
55,76.73,4429.84,0,2,0,1,2,0
58,113.72,6351.11,0,2,0,0,1,1
1,23.42,25.04,1,1,0,0,2,1
1,28.73,28.37,0,1,0,1,1,1
53,35.54,1864.51,1,0,0,1,0,0
0,87.71,0.0,0,1,0,0,3,1
18,83.21,1496.63,2,1,0,0,0,1
1,108.1,103.05,0,0,0,0,1,1
52,92.02,5259.27,0,2,0,0,1,0
43,69.34,3053.31,1,2,0,1,1,0
31,118.18,3769.93,1,0,0,1,0,0
69,44.88,3187.5,0,2,0,1,1,1
31,102.15,3409.44,2,1,0,0,0,0
67,61.11,3835.5,0,1,0,0,1,1
54,83.52,4112.43,0,2,0,0,3,1
55,91.45,4915.78,0,0,0,1,3,1
16,82.01,1329.19,0,2,0,1,1,1
37,32.19,1139.98,0,0,0,0,2,1
23,62.74,1497.63,0,2,0,0,0,0
68,74.71,4647.35,2,1,1,0,1,1
69,103.75,7574.97,0,0,1,0,0,1
10,62.81,655.5,1,1,0,0,2,1
15,110.79,1566.77,0,0,0,1,3,1
58,62.48,3477.77,0,0,0,1,0,0
69,73.43,5377.77,0,0,0,0,0,0
2,98.42,207.6,1,2,0,0,0,0
19,76.89,1552.59,1,2,0,0,0,0
58,114.98,6431.75,2,2,0,0,0,0
35,84.69,3242.53,0,2,0,1,3,1
18,70.79,1329.1,2,2,0,1,0,0
66,20.38,1228.11,1,0,0,1,0,0
18,59.79,1071.43,0,2,0,1,3,0
19,48.22,946.33,0,2,0,1,1,1
70,93.56,6115.18,0,0,0,0,1,1
51,39.04,2151.03,1,1,0,0,0,0
32,38.73,1302.35,0,1,0,0,3,1
39,37.14,1327.2,1,2,0,1,0,0
38,30.69,1262.6,0,1,0,1,1,1
0,49.41,0.0,0,2,0,1,3,1
10,107.48,1064.58,0,0,0,1,2,1
56,96.27,5696.37,1,0,1,1,3,0
49,92.26,4650.94,0,2,0,1,1,1
22,98.53,2140.58,0,0,0,1,3,1
30,45.21,1291.1,1,1,0,1,2,0
41,107.63,4427.74,0,1,1,0,3,1
6,31.87,194.25,0,2,0,0,0,1
15,51.97,799.96,0,0,0,0,0,0
59,77.26,4654.12,0,0,0,1,1,1
1,28.39,29.06,0,1,0,1,3,1
0,91.74,0.0,0,1,0,0,1,1
47,57.11,2717.39,0,0,0,1,3,0
11,97.22,1024.21,0,2,0,0,1,1
68,67.78,4294.13,2,1,0,1,3,0
36,36.27,1333.65,0,2,0,1,0,0
31,92.21,2599.53,0,0,0,1,1,1
8,43.47,317.52,0,1,0,0,1,1
18,67.57,1154.79,0,2,0,1,2,1
47,25.63,1130.97,2,1,0,0,3,0
2,80.4,156.75,1,0,0,1,0,0
19,85.25,1578.05,0,2,0,0,0,1
23,56.25,1194.61,2,1,1,1,0,0
53,114.4,5755.8,0,2,1,1,1,1
32,106.29,3064.26,2,0,0,1,0,0
23,89.5,1997.14,2,1,0,1,1,0
71,90.08,6774.86,1,2,1,1,2,0
35,43.49,1450.96,0,1,0,0,0,1
37,84.34,3210.05,0,0,0,1,2,0
24,38.02,839.16,0,0,0,0,3,0
17,32.54,499.22,0,0,0,1,3,0
65,118.95,7729.27,0,1,1,1,2,1
53,80.86,4252.57,2,1,1,1,3,1
34,61.53,1962.95,0,0,0,1,0,0
60,47.1,2705.38,1,0,0,1,0,0
40,79.0,2863.38,1,1,0,1,1,0
32,23.01,780.18,2,1,0,1,2,0
67,27.56,1773.13,0,1,0,0,2,1
32,21.32,643.96,0,1,1,1,1,1
13,68.42,943.66,2,2,0,0,0,0
20,78.66,1428.24,2,0,0,1,2,0
47,24.31,1093.33,2,1,0,1,1,0
19,90.84,1644.06,1,1,1,1,2,1
7,41.27,275.2,0,0,0,1,2,1
6,87.21,472.14,0,1,0,0,1,1
66,117.17,8405.5,0,2,0,0,2,1
16,87.8,1507.11,1,0,0,0,3,0
32,107.2,3371.74,1,0,0,1,1,0
47,113.77,5288.84,1,1,1,0,1,1
58,67.16,3914.1,2,1,0,1,3,0
21,88.93,1859.43,1,1,0,1,2,0
29,104.05,3185.9,0,1,0,1,3,1
37,54.02,1994.11,0,2,0,0,2,1
50,44.4,2081.84,2,0,0,0,0,0
53,113.61,5560.06,0,0,0,1,3,1
7,91.36,693.02,0,0,1,1,3,1
26,40.19,950.56,0,1,0,1,3,1
26,63.36,1778.35,0,1,0,0,0,1
20,98.44,2043.8,0,2,0,1,2,1
29,73.25,2083.76,2,1,0,1,0,0
27,83.65,2117.25,2,1,0,0,3,0
63,94.13,5705.41,2,0,0,1,0,0
68,80.82,5528.6,0,1,0,1,3,1
60,72.55,4489.55,2,0,0,0,1,0
47,93.71,4573.03,2,2,1,0,2,0
18,91.48,1629.28,2,1,1,1,3,1
3,81.62,238.69,1,0,0,1,0,0
34,54.34,1946.71,1,1,0,0,0,0
63,58.99,4032.57,0,0,0,0,0,0
48,116.01,6030.07,2,1,1,1,2,0
16,29.35,474.45,0,0,0,1,1,0
43,45.12,1776.81,0,1,0,1,2,1
29,67.73,1796.54,2,1,0,0,1,0
45,102.51,4523.23,0,1,0,0,0,1
5,34.53,180.69,0,1,0,1,2,1
36,45.97,1654.04,2,0,0,0,1,0
23,24.65,581.39,2,1,0,1,0,1
45,89.3,4294.43,0,1,0,0,0,1
52,42.06,1986.05,2,1,0,0,2,0
59,57.26,3664.7,0,2,0,1,1,0
62,62.81,3762.52,0,0,0,1,0,1
31,108.02,3045.09,0,1,0,1,0,1
32,59.54,2033.1,0,1,0,1,0,1
66,32.67,2343.45,0,1,1,1,3,1
17,70.96,1271.13,0,1,0,1,1,1
24,115.26,2934.71,2,0,0,0,1,0
53,79.38,4519.57,1,1,0,1,3,0
57,117.32,6717.15,2,0,0,0,0,0
66,102.95,7039.94,1,1,0,1,3,1
45,21.63,931.78,0,1,1,1,3,1
23,84.5,1846.21,2,0,0,1,3,0
31,46.96,1487.48,2,1,0,1,1,0
46,74.52,3588.76,0,0,0,0,0,1
22,46.21,995.71,0,2,0,1,0,1
65,53.24,3391.59,1,1,1,1,1,0
26,111.24,3154.99,1,1,0,1,1,0
1,38.87,39.01,2,2,0,1,3,0
16,106.29,1866.04,0,1,0,0,3,1
32,21.08,723.51,0,0,0,1,2,0
8,27.18,223.51,1,2,0,1,2,0
42,104.32,3951.3,1,0,0,1,1,0
47,81.69,3682.72,0,1,0,1,3,1
38,93.47,3493.36,0,2,0,0,1,1
41,39.15,1654.21,1,1,0,1,3,0
25,72.25,1768.51,1,0,0,1,3,0
49,92.46,4827.58,0,0,0,1,1,1
24,81.36,2016.26,0,0,0,1,1,1
23,65.64,1463.57,2,1,0,1,0,0
12,114.94,1457.74,2,0,0,0,0,0
59,86.29,4890.61,0,2,0,1,2,1
6,109.68,600.54,0,1,1,1,1,1
56,91.71,4799.43,2,2,1,1,2,0
35,92.28,2908.59,0,2,0,1,1,1
44,26.08,1223.8,1,2,0,1,1,0
19,54.31,1058.12,1,0,0,1,1,0
64,104.7,6795.37,0,1,1,1,0,1
7,41.49,299.84,1,0,0,1,2,0
15,29.67,458.72,1,0,0,1,1,0
13,50.94,670.9,1,1,0,1,2,0
14,40.26,602.24,0,2,0,1,2,0
65,111.45,7158.69,2,0,0,0,0,0
31,105.66,3475.14,0,0,1,0,0,1
62,68.47,4488.5,1,0,0,0,1,0
50,24.2,1137.28,2,2,0,0,3,0
24,90.17,2144.07,0,2,0,1,2,1
57,80.96,4923.84,2,0,0,1,0,0
62,116.03,7669.89,2,1,0,0,2,1
61,74.45,4109.11,0,2,0,0,3,0
21,51.98,1031.12,0,1,0,1,2,1
57,70.42,3952.83,2,1,0,1,1,0
57,116.91,6060.33,0,0,0,1,2,1
48,88.33,4036.86,0,1,0,0,0,1
51,85.87,4167.67,2,1,0,1,1,1
41,42.31,1635.68,2,1,0,1,1,0
69,93.1,6291.13,2,0,0,1,3,0
14,93.78,1395.11,0,0,0,0,1,0
53,50.05,2516.89,0,0,0,0,0,0
59,66.86,4009.49,0,1,0,1,3,1
7,47.75,338.1,1,2,0,1,1,0
52,44.13,2440.67,1,2,0,0,3,0
59,20.62,1190.79,0,0,0,1,2,0
4,46.81,176.89,0,2,0,0,1,1
67,73.95,5342.62,1,0,1,1,0,0
5,18.16,96.85,1,1,0,0,0,1
46,46.61,2196.16,0,1,0,0,1,1
54,107.02,5308.94,2,0,0,1,2,0
39,77.96,2746.2,0,0,0,0,3,1
51,79.39,3791.89,1,0,0,0,0,0
15,58.74,827.64,2,1,0,1,0,0
12,86.32,960.48,1,1,0,0,3,0
29,37.18,1026.94,0,1,0,1,3,1
18,100.69,1753.66,0,2,0,0,0,0
16,29.79,500.9,2,1,0,1,3,0
62,84.26,5443.03,0,2,0,1,1,1
18,52.46,869.56,1,1,0,0,0,0
57,93.5,5838.05,2,0,0,1,0,0
54,73.53,4170.85,2,0,0,1,0,0
61,63.69,3623.57,0,1,0,0,1,1
22,35.11,714.41,2,1,0,1,0,0
8,82.32,604.23,2,2,0,1,3,1
11,116.45,1340.33,0,0,0,0,0,1
0,101.39,0.0,0,0,0,1,1,1
57,24.06,1254.29,0,0,0,0,1,0
0,56.0,0.0,0,0,1,1,2,1
33,111.48,3832.39,2,1,0,0,0,1
47,68.81,3107.65,1,2,0,1,1,0
0,84.87,0.0,2,1,1,0,2,1
15,110.17,1550.98,2,1,0,0,0,0
60,106.25,6284.66,1,1,0,1,1,0
63,68.68,4204.77,1,0,1,0,1,0
62,62.2,3805.43,0,2,0,0,0,0
68,52.31,3532.69,2,1,0,0,0,0
21,90.62,1747.85,0,0,0,0,2,1
66,46.99,2849.12,1,1,0,1,0,0
25,43.24,1029.24,0,1,0,0,0,1
15,53.98,747.48,2,0,0,1,3,0
50,35.9,1706.25,2,0,1,1,0,0
56,88.21,4470.03,0,1,0,1,1,1
28,80.24,2179.65,1,0,0,0,2,0
68,66.77,4280.12,1,0,0,1,2,0
46,57.42,2848.48,0,1,0,1,2,1
61,109.82,7178.88,0,1,0,0,1,1
68,20.94,1367.08,1,1,0,1,0,0
15,95.68,1428.16,0,2,0,1,1,1
47,109.09,5594.62,0,1,0,0,3,1
38,63.08,2408.59,0,1,0,1,2,1
32,73.62,2520.01,0,2,0,1,0,0
22,113.39,2657.41,0,1,0,0,0,1
9,39.44,386.29,0,0,0,0,2,1
68,70.53,4609.67,0,0,0,1,3,0
33,65.95,1977.63,0,1,0,0,3,1
51,44.1,2070.95,1,1,1,0,0,0
9,100.68,919.04,2,2,1,0,1,0
18,108.86,1971.35,0,1,0,0,2,1
57,96.98,5305.04,2,2,0,0,1,0
0,37.73,0.0,0,0,0,0,0,1
68,26.76,1895.88,1,1,0,0,2,0
3,79.15,229.88,0,2,0,0,3,1
15,23.77,363.96,1,0,0,1,3,0
23,85.96,2061.02,1,0,0,1,3,0
1,71.57,70.57,0,1,0,1,0,1
31,84.94,2471.68,0,2,0,1,3,1
23,77.61,1913.83,2,0,1,0,2,0
11,60.69,613.32,0,1,0,0,2,1
49,38.29,1999.84,0,0,0,1,2,0
34,48.88,1773.83,0,1,0,0,2,1
32,70.97,2303.29,0,2,0,0,3,1
32,83.84,2752.35,0,0,0,0,2,1
60,96.73,5638.99,0,0,0,1,0,1
50,95.48,5100.14,0,1,0,1,2,1
42,116.24,4651.36,0,1,0,1,3,1
11,46.87,521.73,1,0,0,1,3,0
66,25.18,1496.29,1,1,0,1,1,1
64,52.91,3684.12,2,2,0,1,2,0
32,93.07,3245.27,2,0,0,0,3,0
39,62.25,2529.92,2,0,0,0,1,0
42,100.6,4160.33,2,1,0,1,0,0
43,73.48,2956.55,1,1,0,0,2,0
28,111.91,3128.76,0,0,0,0,3,1
12,113.73,1444.3,1,1,1,0,3,1
11,25.0,280.79,0,2,0,0,2,1
45,64.1,2900.36,2,0,0,0,1,0
1,79.58,85.14,0,1,0,1,2,1
34,43.84,1434.85,1,0,0,0,0,0
7,59.11,443.56,0,1,1,0,0,1
25,86.45,2135.08,0,1,0,1,2,1
33,40.9,1215.38,0,1,0,1,1,1
6,78.8,494.73,0,1,0,1,0,1
67,88.44,6373.26,0,0,1,1,2,1
57,27.14,1542.14,0,1,0,0,1,1
28,68.25,1893.7,0,1,0,1,1,1
35,44.57,1655.25,0,0,0,1,3,1
20,91.16,1963.5,2,2,1,1,0,0
35,37.15,1423.62,0,0,0,1,2,0
9,108.12,943.04,0,1,1,1,0,1
23,61.53,1441.99,2,1,1,1,1,0
63,38.0,2548.61,1,1,0,1,3,0
48,62.24,3006.55,0,0,0,1,0,1
35,59.28,2058.97,0,0,0,1,2,1
23,61.32,1430.65,2,0,0,1,0,0
22,77.14,1648.5,0,1,0,0,1,1
61,70.64,4043.67,0,1,0,1,3,1
36,33.13,1089.31,1,1,0,1,0,0
11,24.62,276.78,0,2,1,0,1,1
54,91.67,4830.52,2,2,0,1,1,0
12,74.53,962.86,0,1,0,1,3,1
22,54.26,1127.58,1,1,0,1,1,0
29,99.64,2780.17,1,0,0,1,0,0
16,57.19,1001.15,0,2,0,1,2,0
61,98.39,6069.36,2,2,0,1,3,0
12,48.88,568.58,2,0,0,0,1,0
58,25.36,1577.05,0,1,0,0,0,1
18,112.2,2117.9,2,2,0,1,3,0
48,57.85,2817.42,0,0,0,1,1,0
11,98.06,1162.6,2,1,0,1,0,1
60,46.19,2546.34,0,0,1,0,1,0
18,83.28,1467.41,0,1,0,0,0,1
8,106.2,902.37,0,0,0,1,1,1
70,22.21,1519.24,0,0,0,1,3,0
27,101.89,2985.82,0,0,0,1,3,1
51,75.7,3592.4,2,2,0,1,3,0
15,79.35,1151.36,2,1,0,0,1,0
68,70.84,4745.58,0,1,1,0,1,1
11,106.32,1213.25,0,1,0,1,3,1
24,22.39,504.62,2,0,0,0,3,0
51,44.36,2040.59,0,2,0,0,2,0
52,106.45,6062.93,0,2,0,0,0,1
22,93.99,2232.69,0,1,0,0,2,1
15,19.78,284.85,0,1,0,0,0,1
56,70.22,3919.33,0,1,1,1,1,1
38,71.49,2710.6,1,0,0,1,0,0
52,58.49,3266.08,1,0,1,0,0,0
41,48.04,2007.87,0,1,0,1,1,1
57,86.85,5273.65,2,2,0,0,1,0
38,38.99,1603.7,1,0,1,0,1,0
13,98.69,1299.89,0,1,0,1,3,1
4,99.11,379.43,0,0,0,1,3,1
34,59.94,2037.43,0,0,0,1,0,0
17,46.64,848.52,0,1,0,0,1,1
8,46.67,379.6,0,0,0,0,3,1
57,66.71,4103.41,0,2,1,1,1,1
16,90.68,1565.63,0,1,0,0,0,1
6,54.25,317.26,1,0,1,1,3,0
45,79.61,3545.27,2,1,1,0,3,0
12,56.63,703.74,0,2,0,1,2,0
